,index,location,points,price,country,polarity
233,233,"Domaine Méo-Camuzet winery ,Corton-Charlemagne, Burgundy, France",95,307.0,France,0.4216666666666667
234,234,"Three Sticks winery ,Santa Maria Valley, California, US",95,60.0,US,0.2041666666666667
235,235,"Tenuta dell'Ornellaia winery ,Toscana, Tuscany, Italy",99,250.0,Italy,0.3372727272727272
236,236,"Tenuta dell'Ornellaia winery ,Bolgheri Superiore, Tuscany, Italy",98,175.0,Italy,0.5526785714285715
237,237,"Tenuta San Guido winery ,Bolgheri Sassicaia, Tuscany, Italy",97,190.0,Italy,0.2147727272727273
238,238,"Marchesi Antinori winery ,Toscana, Tuscany, Italy",96,170.0,Italy,0.24166666666666667
239,239,"Marchesi Antinori winery ,Toscana, Tuscany, Italy",95,79.0,Italy,0.25833333333333336
240,240,"Gary Farrell winery ,Sonoma Valley, California, US",96,55.0,US,0.016666666666666663
241,241,"Verité winery ,Sonoma County, California, US",98,300.0,US,0.19814814814814813
242,242,"Gaja winery ,Langhe, Piedmont, Italy",97,215.0,Italy,0.22916666666666666
243,243,"Domaine Leflaive winery ,Bienvenues Bâtard-Montrachet, Burgundy, France",97,410.0,France,-0.015714285714285698
244,244,"Black Coyote winery ,Atlas Peak, California, US",97,85.0,US,0.20411255411255416
245,245,"Gaja winery ,Langhe, Piedmont, Italy",95,420.0,Italy,0.475
246,246,"Verité winery ,Sonoma County, California, US",94,260.0,US,0.15
247,247,"Château Trotanoy winery ,Pomerol, Bordeaux, France",94,,France,0.25833333333333336
248,248,"Le Dôme winery ,Saint-Émilion, Bordeaux, France",94,150.0,France,0.37
249,249,"Avignonesi winery ,Vin Santo di Montepulciano, Tuscany, Italy",99,237.0,Italy,0.20714285714285716
250,250,"Bouchard Père & Fils winery ,Montrachet, Burgundy, France",98,757.0,France,0.22348484848484848
251,251,"Continuum winery ,Napa Valley, California, US",97,140.0,US,0.2378452380952381
252,252,"Avignonesi winery ,Vin Santo di Montepulciano, Tuscany, Italy",97,170.0,Italy,0.13214285714285715
253,253,"Bouchard Père & Fils winery ,Chevalier-Montrachet, Burgundy, France",95,328.0,France,0.2944444444444445
254,254,"Barons de Rothschild winery ,Champagne, Champagne, France",96,390.0,France,0.23214285714285715
255,255,"Patrimony winery ,Adelaida District, California, US",96,275.0,US,0.006666666666666665
256,256,"Crown Point winery ,Happy Canyon of Santa Barbara, California, US",96,185.0,US,0.01562500000000001
